SampleID,Index,OlinkID,UniProt,Assay,MissingFreq,Panel,Panel_Version,PlateID,QC_Warning,LOD,NPX
Sample_001,1,OID00001,P05231,IL6,0.011,Inflammation,v1.0,Plate_1,PASS,0.49,6.5839
Sample_001,1,OID00002,P01375,TNF,0.034,Inflammation,v1.0,Plate_1,PASS,1.13,4.7406
Sample_001,1,OID00003,P10145,CXCL8,0.001,Inflammation,v1.0,Plate_1,PASS,0.69,7.2985
Sample_001,1,OID00004,P13232,IL10,0.025,Inflammation,v1.0,Plate_1,PASS,0.41,4.5990
Sample_001,1,OID00005,P01579,IFNG,0.027,Inflammation,v1.0,Plate_1,PASS,1.01,5.9850
Sample_001,1,OID00006,P22301,IL1RL1,0.029,Inflammation,v1.0,Plate_1,PASS,0.41,5.1658
Sample_001,1,OID00007,P05112,IL4,0.035,Inflammation,v1.0,Plate_1,PASS,1.23,5.0625
Sample_001,1,OID00008,P60568,IL2,0.008,Inflammation,v1.0,Plate_1,PASS,0.58,4.8405
Sample_001,1,OID00009,P01374,LTA,0.005,Inflammation,v1.0,Plate_1,PASS,0.23,6.3101
Sample_001,1,OID00010,P29459,IL12A,0.030,Inflammation,v1.0,Plate_1,PASS,1.29,4.6391
Sample_001,1,OID00011,Q16552,IL17A,0.049,Inflammation,v1.0,Plate_1,PASS,0.85,5.8524
Sample_001,1,OID00012,Q9NPH3,IL1A,0.028,Inflammation,v1.0,Plate_1,PASS,0.63,2.7282
Sample_001,1,OID00013,P01583,IL1B,0.029,Inflammation,v1.0,Plate_1,PASS,1.31,7.7964
Sample_001,1,OID00014,P18510,IL1RN,0.002,Inflammation,v1.0,Plate_1,PASS,1.09,3.1714
Sample_001,1,OID00015,P10147,CCL3,0.012,Inflammation,v1.0,Plate_1,PASS,0.21,5.1716
Sample_001,1,OID00016,P13236,CCL4,0.014,Inflammation,v1.0,Plate_1,PASS,0.24,6.2280
Sample_001,1,OID00017,P13501,CCL5,0.010,Inflammation,v1.0,Plate_1,PASS,0.62,4.0595
Sample_001,1,OID00018,P78556,CCL20,0.047,Inflammation,v1.0,Plate_1,PASS,0.47,3.9239
Sample_001,1,OID00019,P02778,CXCL10,0.036,Inflammation,v1.0,Plate_1,PASS,0.34,5.5711
Sample_001,1,OID00020,Q07325,CXCL9,0.019,Inflammation,v1.0,Plate_1,PASS,0.33,3.3517
Sample_001,1,OID00021,P09341,GRO1,0.034,Inflammation,v1.0,Plate_1,PASS,0.88,7.1395
Sample_001,1,OID00022,P01137,TGFB1,0.039,Inflammation,v1.0,Plate_1,PASS,1.28,4.8590
Sample_001,1,OID00023,P09038,FGF2,0.013,Cardiometabolic,v1.0,Plate_1,PASS,0.54,5.0503
Sample_001,1,OID00024,P15692,VEGFA,0.047,Cardiometabolic,v1.0,Plate_1,PASS,0.40,5.3799
Sample_001,1,OID00025,P01189,POMC,0.020,Cardiometabolic,v1.0,Plate_1,PASS,1.02,5.9300
Sample_001,1,OID00026,P01308,INS,0.023,Cardiometabolic,v1.0,Plate_1,PASS,1.38,4.0859
Sample_001,1,OID00027,P01258,CALCA,0.013,Cardiometabolic,v1.0,Plate_1,PASS,0.89,4.8946
Sample_001,1,OID00028,P06858,LPL,0.045,Cardiometabolic,v1.0,Plate_1,PASS,0.92,6.1240
Sample_001,1,OID00029,P04114,APOB,0.025,Cardiometabolic,v1.0,Plate_1,PASS,1.50,4.1484
Sample_001,1,OID00030,P02647,APOA1,0.002,Cardiometabolic,v1.0,Plate_1,PASS,0.23,5.6236
Sample_001,1,OID00031,P02649,APOE,0.021,Cardiometabolic,v1.0,Plate_1,PASS,1.21,6.6271
Sample_001,1,OID00032,P05155,SERPING1,0.019,Cardiometabolic,v1.0,Plate_1,PASS,0.19,6.3400
Sample_001,1,OID00033,P02741,CRP,0.043,Cardiometabolic,v1.0,Plate_1,PASS,1.46,8.6404
Sample_001,1,OID00034,P02787,TF,0.036,Cardiometabolic,v1.0,Plate_1,PASS,0.12,4.9551
Sample_001,1,OID00035,P00738,HP,0.032,Cardiometabolic,v1.0,Plate_1,PASS,0.47,4.2256
Sample_001,1,OID00036,P02768,ALB,0.022,Cardiometabolic,v1.0,Plate_1,PASS,0.26,3.3073
Sample_001,1,OID00037,P04217,A1BG,0.013,Cardiometabolic,v1.0,Plate_1,PASS,1.33,1.4362
Sample_001,1,OID00038,P01023,A2M,0.009,Cardiometabolic,v1.0,Plate_1,PASS,0.80,6.0664
Sample_001,1,OID00039,P10909,CLU,0.032,Cardiometabolic,v1.0,Plate_1,PASS,0.52,7.5873
Sample_001,1,OID00040,P01024,C3,0.008,Cardiometabolic,v1.0,Plate_1,PASS,0.95,3.4173
Sample_002,2,OID00001,P05231,IL6,0.027,Inflammation,v1.0,Plate_1,PASS,1.19,6.9467
Sample_002,2,OID00002,P01375,TNF,0.016,Inflammation,v1.0,Plate_1,PASS,0.10,3.1381
Sample_002,2,OID00003,P10145,CXCL8,0.042,Inflammation,v1.0,Plate_1,PASS,1.33,10.2251
Sample_002,2,OID00004,P13232,IL10,0.003,Inflammation,v1.0,Plate_1,PASS,0.53,5.4213
Sample_002,2,OID00005,P01579,IFNG,0.024,Inflammation,v1.0,Plate_1,PASS,0.22,7.6186
Sample_002,2,OID00006,P22301,IL1RL1,0.038,Inflammation,v1.0,Plate_1,PASS,0.20,2.4786
Sample_002,2,OID00007,P05112,IL4,0.027,Inflammation,v1.0,Plate_1,PASS,0.77,5.0781
Sample_002,2,OID00008,P60568,IL2,0.044,Inflammation,v1.0,Plate_1,PASS,0.47,4.2175
Sample_002,2,OID00009,P01374,LTA,0.036,Inflammation,v1.0,Plate_1,PASS,0.86,4.0835
Sample_002,2,OID00010,P29459,IL12A,0.016,Inflammation,v1.0,Plate_1,PASS,0.38,5.4806
Sample_002,2,OID00011,Q16552,IL17A,0.026,Inflammation,v1.0,Plate_1,PASS,0.71,7.1722
Sample_002,2,OID00012,Q9NPH3,IL1A,0.011,Inflammation,v1.0,Plate_1,PASS,0.27,4.9338
Sample_002,2,OID00013,P01583,IL1B,0.011,Inflammation,v1.0,Plate_1,PASS,0.42,5.7496
Sample_002,2,OID00014,P18510,IL1RN,0.032,Inflammation,v1.0,Plate_1,PASS,0.20,6.7001
Sample_002,2,OID00015,P10147,CCL3,0.004,Inflammation,v1.0,Plate_1,PASS,1.30,5.4298
Sample_002,2,OID00016,P13236,CCL4,0.033,Inflammation,v1.0,Plate_1,PASS,0.43,8.2292
Sample_002,2,OID00017,P13501,CCL5,0.029,Inflammation,v1.0,Plate_1,PASS,1.41,5.1781
Sample_002,2,OID00018,P78556,CCL20,0.039,Inflammation,v1.0,Plate_1,PASS,0.76,5.7791
Sample_002,2,OID00019,P02778,CXCL10,0.022,Inflammation,v1.0,Plate_1,PASS,0.24,7.1446
Sample_002,2,OID00020,Q07325,CXCL9,0.023,Inflammation,v1.0,Plate_1,PASS,0.69,4.0880
Sample_002,2,OID00021,P09341,GRO1,0.005,Inflammation,v1.0,Plate_1,PASS,1.48,4.7058
Sample_002,2,OID00022,P01137,TGFB1,0.017,Inflammation,v1.0,Plate_1,PASS,0.66,2.7755
Sample_002,2,OID00023,P09038,FGF2,0.022,Cardiometabolic,v1.0,Plate_1,PASS,0.37,5.7321
Sample_002,2,OID00024,P15692,VEGFA,0.014,Cardiometabolic,v1.0,Plate_1,PASS,0.69,4.1337
Sample_002,2,OID00025,P01189,POMC,0.043,Cardiometabolic,v1.0,Plate_1,PASS,0.72,5.0041
Sample_002,2,OID00026,P01308,INS,0.003,Cardiometabolic,v1.0,Plate_1,PASS,0.87,8.3990
Sample_002,2,OID00027,P01258,CALCA,0.046,Cardiometabolic,v1.0,Plate_1,PASS,1.46,7.8524
Sample_002,2,OID00028,P06858,LPL,0.008,Cardiometabolic,v1.0,Plate_1,PASS,1.29,4.9871
Sample_002,2,OID00029,P04114,APOB,0.003,Cardiometabolic,v1.0,Plate_1,PASS,0.66,3.9640
Sample_002,2,OID00030,P02647,APOA1,0.049,Cardiometabolic,v1.0,Plate_1,PASS,0.63,5.0937
Sample_002,2,OID00031,P02649,APOE,0.021,Cardiometabolic,v1.0,Plate_1,PASS,0.74,4.7495
Sample_002,2,OID00032,P05155,SERPING1,0.050,Cardiometabolic,v1.0,Plate_1,PASS,1.44,7.6144
Sample_002,2,OID00033,P02741,CRP,0.015,Cardiometabolic,v1.0,Plate_1,PASS,0.32,4.5571
Sample_002,2,OID00034,P02787,TF,0.029,Cardiometabolic,v1.0,Plate_1,PASS,1.46,4.1802
Sample_002,2,OID00035,P00738,HP,0.029,Cardiometabolic,v1.0,Plate_1,PASS,0.18,2.5966
