sample_id,context,disease,lineage,sensitivity_BRD-0003,sensitivity_BRD-0007,sensitivity_BRD-0015
SAMPLE_01,context_A,IBD,organoid,0.09800079468797522,0.16843753920412494,0.14430262711725625
SAMPLE_02,context_A,IBD,organoid,0.1970282358195607,0.19392251506536362,0.10877593921543802
SAMPLE_03,context_A,IBD,organoid,0.08489102465688408,0.14075688182273696,0.18716270856017211
SAMPLE_04,context_A,IBD,organoid,0.13418787038282087,0.2111270669337015,0.11672451463556528
SAMPLE_05,context_A,IBD,organoid,0.10734780362132099,0.12858360889184464,0.1558342904570364
SAMPLE_06,context_B,fibrosis,fibroblast,0.8439698987431414,0.592584734844268,0.8109344298364507
SAMPLE_07,context_B,fibrosis,fibroblast,0.8388895967714475,0.5830186089276791,0.8435714388974095
SAMPLE_08,context_B,fibrosis,fibroblast,0.8033015348780609,0.7213318080696369,0.8111797774387342
SAMPLE_09,context_B,fibrosis,fibroblast,0.8563620603484017,0.5090205816742771,0.8339456781535948
SAMPLE_10,context_B,fibrosis,fibroblast,0.8233754671126023,0.5992783538060397,0.8033789534744447
