sample_id,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04
SAMPLE_01,15231.295518951987,15505.030580670833,13834.275344115467,14744.26302691416,14623.701876565763,14488.897721405327,3389.9430995093267,4097.976524493758,3153.667553722703,3887.3113418365924,2826.852091353678,3366.04598800569,14646.477758594505,15027.60009822335,5426.735947875713,15214.012511679934,14186.147434976407,14083.88338660189,5514.7855287542925,14327.826107606546,13351.88230899587,13480.041507396867,13672.49294259855,14947.444669648388,14628.183162463509,15121.436818660992,4743.648412198079,14642.685721969043,15063.031354570603,14221.588114251785,14911.09771380167,13904.266653040015,14709.556922747943,14694.609684801337,14043.328283528768,15389.577984628466,14624.478127837821,15009.995294982149,3692.298663562364,3678.6124704119775,3766.1540435891143,3460.6058061962303,3330.6806751823383,3468.1127156374405,12981.399009437773,13197.598774819222,4206.3802325873585,13602.477855158666,14859.796804051093,13685.068850175945,4773.1024675763665,15669.305468007458,14179.362426044716,15163.764011620378,13659.74408799111,14315.106197919133,13644.980150580477,14194.870231689494,5504.1848824744375,12945.411619126886,14890.981279191272,14713.96204209905,13965.265039872886,13198.54793105039
SAMPLE_02,15057.703606171095,14576.405832748958,15186.140969083763,15017.481716418753,16281.423113056733,14808.515498021581,3090.601002951254,3571.7102539825264,3587.998673588706,4043.6750300961744,3834.0444983658313,3642.748423659804,15816.972602097605,13430.113251109435,4616.149080350151,13666.081652735027,14149.17117715981,13260.982467199323,5381.090568088643,14299.999572611105,13176.274334947608,13585.978826913213,14782.162462705175,15254.313911104942,16297.057802522608,17122.476219406595,5248.645659965598,13609.415691971322,12581.158347341821,14740.940316109452,13768.353014220707,14126.178465838284,14510.322560752153,14887.367290866892,15852.784184630114,15125.638853956276,14873.09213036905,14171.47699773935,2830.126822118257,3305.4768363706676,3478.4869796726716,4207.171965431953,3552.1098085891545,3893.095804409223,14050.633961314763,13433.550610224678,4420.929942660577,13847.296541917822,16415.622759191647,13760.751988698052,5503.093522241807,13687.365539721677,15338.41571158682,14846.455869495278,14359.025892107718,14463.313726478109,13910.691074113549,14901.464981333873,4727.009911795532,13396.954812609476,13349.856183112342,14655.329125949907,15921.182130769392,14643.992452216095
SAMPLE_03,14905.089339112094,15228.660911682035,16044.80139336546,15175.506001091086,14671.25821533301,15885.030968047911,3671.5025753846453,4114.302396798397,3573.2937748887625,3010.2123873118,2952.736320301734,4160.3711728925,16051.299148704968,14338.432708045659,4770.087607318407,15815.299863017983,13503.658886160862,13694.745682939756,5385.996076813427,14144.85538942637,14495.390319951935,14352.90139132794,14803.81709391904,15766.733675182346,14581.52641621157,15079.544913949172,3769.8967393813864,14456.153438262894,13741.092756736416,13403.068245618735,13709.662869764124,14199.28890336927,15732.722033884811,13938.88582580835,15024.505194075535,14612.664453333136,14737.861524510432,15802.206260243684,3715.2461748015703,4034.9592429770973,3438.1977283000397,3221.622955331719,3410.4564732478,3596.9987165084885,14658.91602260834,13524.05073498997,5054.293868976724,14705.405497125015,16765.726633780527,16189.160150153502,4488.053989664708,14241.354974605742,13182.902198346697,13968.363687432862,14784.044503231307,15585.26825879941,13843.824546030752,13911.268203938984,3711.626582156807,14353.600671509583,13543.827029326394,14023.504515370534,13710.82529964917,14415.163701172698
SAMPLE_04,13593.817286914695,13826.363803687207,16703.397689622638,13970.061934980775,14122.571537236288,16469.530822657052,4662.026867696162,3031.3733484698632,3352.700417284788,3636.622220376204,4191.479057762237,3105.257168628705,14279.249938652101,15199.60381845557,5260.859644679971,14161.459535892911,14379.559331935563,13262.593772467017,4857.095753615201,14260.25125899194,14708.952900663631,14000.205503062885,14924.384670290625,15411.444236037845,14639.88639490162,14816.580767559282,5031.89320854672,14500.075953782272,13850.597769811437,14784.844835505977,14412.442061427859,16383.851478037535,16258.683921980193,15308.6772420452,14389.554232244185,14110.070822413265,15952.914362471092,15210.19938011771,3692.0573613566444,2802.165605210323,3870.9753926232725,3681.7681352857453,3055.827726234209,3311.3900770200203,14737.345483920868,14547.22011852062,4824.697288517867,14406.860558740635,14273.220359613802,14637.306260892221,5882.895183795894,12190.007403161831,14286.834761941283,14658.861179235202,14766.39459071839,14165.27687681084,12918.950395769276,14795.1959353427,6036.410128498511,13119.524735575476,15277.44521232837,14204.327299189395,14444.808088754038,13552.391340366446
SAMPLE_05,14732.435062115299,16040.035675759167,15466.124193590165,16385.849284327956,15941.929511182156,15351.26934314366,4197.573810467117,3675.5972634953196,3831.1952707188234,3381.3716185861167,3526.618326343682,3221.0304706798893,15390.625541135369,13439.52673919662,5469.410205450597,14328.414048245357,15554.122384120588,15175.782089858134,6092.387694588081,15157.69722202478,13085.163769912084,14439.74214439162,13445.193526664665,14033.548141870353,15860.10558994905,15073.780429807926,4580.641742852752,13587.654370203642,14529.503883588635,13405.095865556985,13895.973750343077,14780.80852439612,15924.249628885356,15487.009177779551,13166.96839312152,15243.493383224208,15057.626858586062,15331.112228298154,4146.483872660483,2674.7046892781027,3263.558629923558,3736.3625291173416,2867.3622402184233,4090.3796192214036,14831.520951430593,15261.925587259064,4657.433803086923,15232.38732096959,15461.624400390134,14709.590218123452,5140.640535619217,14743.308915353553,13722.989261734556,14367.224187783682,14362.729720792877,14845.054477918145,15399.841822219265,13547.31752621943,4924.994581808253,15833.309992893075,13830.770594068692,13759.974984438712,14682.075572648075,15259.946671436788
SAMPLE_06,15009.140844448528,16063.168472349591,15685.43518605322,15673.456053512049,15443.293201059274,16862.122480276867,3417.9353244535823,2698.5910831733945,4141.701744606857,3316.9202276172696,3543.152177737213,4023.820273944211,13057.966413046966,13373.517507304474,12879.105444016803,13785.27733897712,14895.672945415294,14971.769058531494,14193.391925529988,13228.51070449687,12420.90690703062,14548.918226851343,14075.401569725498,14913.447194544951,15131.758263599144,14624.417288852814,14532.093159763097,14706.290236703562,14977.05823504132,13865.794063417106,14338.349727551687,14677.09848699126,15656.422780333934,14685.007062220342,15416.93380458569,14787.328966467698,14905.966266137495,15663.615233619259,2702.7758515783376,2981.4110687700954,2907.1258410228716,2566.553552060678,3228.694223937929,3799.7735598910963,14243.604340255682,14678.011073747666,14762.452247697554,15694.917519040922,14437.775858746474,15718.227300612458,14064.488660903877,13746.341598555284,13965.039683021138,13167.517138691486,13700.679531639713,14177.784980733013,15223.226517440742,16048.692848049386,13032.472939236071,14853.544721433927,13563.51045475822,14927.227379616881,14382.022014381046,12852.184756737222
SAMPLE_07,15742.637593254787,14515.999429753016,14572.879809301156,14144.198070968248,14476.573378649955,15342.312352555933,3424.3022636254377,3631.4648009129924,3644.7687415715372,4028.2646622112666,3362.885539654248,2909.2568732617074,15460.500174914785,14201.660645112472,14780.214711204164,14845.039401864224,14381.97622281699,14813.898304641665,15365.70879208841,16369.282476148377,14562.443021619501,14644.171533985367,15468.616141719747,13738.905070509387,14799.763335356429,14476.723436841528,14219.735748020288,13749.968074645534,13069.389256021928,12634.314907607837,13494.354298309352,14087.1922435546,14765.446730680991,16549.784929943613,15884.794695925839,14230.327106926698,15278.166761960765,14674.33741091974,3386.254464783962,3574.130259766153,3747.6684467901573,3364.296606446394,3925.5406130937436,3043.2247095430384,14505.705156126041,16837.90635393625,14156.155819837693,15789.893055945555,14582.368160355887,15022.699385796817,13960.251763925116,14346.633176952217,13798.465842947122,14887.271223061798,13733.616529732808,15099.026712682085,15476.75830400132,14829.878266513508,13799.625886511016,14908.569021377827,14222.194250008228,15341.992412918635,12851.73452420639,14197.953368693219
SAMPLE_08,13407.350403900802,13803.951335818236,16091.089783851128,15716.147985577349,14424.415813372168,13797.997235167282,2314.1884648633395,3282.601796826946,4468.166004898961,3673.953708585459,3276.1710855802044,3686.0320838001226,13095.137482305001,14232.408973572128,14069.634231111017,14422.509413361056,15211.725509521073,14810.180703612446,14467.828212675598,13880.464945992317,15308.033867569493,15966.043252861593,13626.865432313729,13701.073909856896,15702.205902688209,14327.790411974445,14982.67497444659,14101.717859297034,15809.54101864364,14618.337235124907,14732.405940990426,15908.246219502915,14710.583618044662,14247.102323260033,14641.148633577317,15361.867160514512,13747.392742255588,15509.976722120897,3284.4914729529028,3959.1250642934256,2542.295878039811,3185.3736899583323,2825.4127395063592,3169.508213454419,14722.89931099805,14338.69603709522,13822.63570173639,14356.733615757945,14683.04941655795,13592.317562251203,14494.794748629336,15096.399373346936,14846.53414389049,15000.880098476136,14766.776200727794,16331.56597245796,14421.615246052741,14223.625103498882,13472.530693749835,13570.963596479947,13379.975391159032,13700.082418092174,14436.387656513136,14800.865615647943
SAMPLE_09,15040.91364684173,14387.57177805623,15720.14765121597,15591.530137840758,14872.281354062387,14477.66708426823,3719.3711683319198,3575.189434994442,2920.749096233981,3472.807897606238,3604.8143248297524,3140.1220854048984,14670.859053553699,13190.65976326799,14935.330270008519,15623.154986553489,14272.734399127332,14827.108904055165,12313.054623940088,13459.287105761201,14235.598971863083,13535.080280715827,15142.956834367593,16297.566877673195,13441.046752513628,13746.282936323327,14164.813857816951,15950.004533649659,13399.863118714087,14724.132510076248,16139.168965731798,13013.41676663866,13975.144634523334,14661.11471483133,14583.529269715671,15650.081030202915,15193.327775856671,13580.030352286298,3706.1641611603245,3268.98444505774,4009.7788867764957,3248.964985425232,3245.3538867591055,3716.4526443218124,15186.633834103242,14903.289427542582,12820.081877830635,14984.230995935426,13569.12275349304,14711.748500429438,13003.385895220657,14901.689932788757,13774.060986123364,13345.62881476553,15142.438122834159,14717.480069509076,13947.420878746392,15806.060964118959,13691.54330490118,14528.896906573842,14742.022102910742,13942.300659284248,14924.022664059936,14019.892887551749
SAMPLE_10,14670.689342227033,16090.114111842673,14167.531157990054,13069.775735256408,16288.749596009515,17039.462362085604,3337.8922938202672,2725.2647837519257,3375.8064095216223,3385.5108200637324,3424.030463591097,3054.6447832312606,15021.605028228829,14972.056637757478,12953.916066126485,15129.277058525398,16347.416483751302,14654.764299193354,13763.872386552046,14372.197107033231,15053.731090271705,12942.395555043504,14647.951632679573,14148.582445483471,16163.04251166044,14343.244539575539,15167.521327783665,13506.633371996193,15028.533250122513,14787.460237412106,13717.857476921696,14659.656503173246,15970.01506946528,14740.96663657072,13646.42988066419,14985.949738818043,14278.06152416599,14726.127249068893,3467.3648921259514,2817.7391135937933,2853.736664271729,3692.82673421021,3290.912521532128,2474.102263271773,15206.359632947322,14745.132779746817,13500.287623174461,13314.852810047583,15252.227106682903,14814.415560304387,15667.821597878852,14878.169738852444,14848.932827135814,14349.764862902291,15235.098280480712,15062.576681123339,15626.552507708675,14030.809373226444,13695.214768939226,14068.807146179219,15211.72154906109,15848.53699626706,14087.043556165629,14117.703644986217
