partner_variant_id	r2
1_17292_A_G	0
1_19761_T_G	0.0051891
1_22670_C_T	0
1_31265_T_G	0
1_31483_A_G	0.0664069
1_34098_T_G	0
1_34477_C_T	0
1_36056_C_A	0
1_37664_C_A	0.000602313
1_37736_A_C	0
1_42268_G_T	0.00318446
1_47430_G_T	0.0181357
1_58004_T_G	0
1_59064_C_T	0
1_66563_A_G	0
1_79128_A_G	0.0388841
1_91167_C_T	0.000812348
1_99103_C_A	0.0176973
1_108908_T_C	0
1_110126_A_C	0
1_115855_G_T	0
1_119148_G_A	0.0710954
1_122299_C_T	0
1_123006_A_G	0
1_128365_C_T	0.00622956
1_131027_C_T	0.0315672
1_131420_A_C	0
1_133284_C_A	0.0126101
1_143071_G_T	0
1_151541_A_C	0
1_152280_A_C	0
1_152418_G_A	0.0289825
1_158517_C_A	0
1_162238_G_T	0.0281611
1_163950_G_A	0
1_171578_T_C	0.00245391
1_179055_C_A	0.0294905
1_183990_C_A	0
1_185825_C_A	0.000524824
1_186459_T_C	0
1_208769_A_C	0
1_210588_A_C	0.0127913
1_226155_C_A	0.0541231
1_226412_G_T	0.00975967
1_232571_T_G	0
1_240363_T_G	0
1_241895_A_G	0.0449291
1_244191_C_T	0
1_246564_G_A	0
1_246921_G_A	0.0309046
1_255359_T_G	0.031797
1_263040_A_C	0
1_279693_T_G	0
1_280510_C_T	0
1_282027_A_G	0.0640107
1_285126_G_A	0
1_290244_G_T	0
1_293294_A_C	0.0171166
1_294539_G_A	0
1_296983_A_C	0.0158507
1_311824_G_A	0.0554642
1_313754_C_T	0
1_323393_T_C	0
1_340182_C_A	0
1_341083_C_A	0
1_349882_C_T	0
1_356508_C_T	0.0702264
1_363144_C_A	0.0224194
1_370031_T_G	0.0489764
1_380348_G_A	0
1_380536_G_T	0.0346666
1_380640_T_C	0.00258195
1_388391_G_A	0
1_403127_C_T	0
1_415479_A_C	0.0458461
1_421063_T_C	0.102134
1_421216_T_G	0.0441405
1_423041_A_C	0.0979281
1_427751_A_C	0.100683
1_431262_C_A	0.148626
1_431723_T_G	0.146869
1_434191_G_T	0.121902
1_437459_T_C	0.240367
1_441452_G_A	0.249954
1_445924_C_A	0.284661
1_447829_T_C	0.36333
1_459689_C_A	0.526383
1_460010_G_T	0.548374
1_462007_A_C	0.572247
1_466444_T_C	0.633451
1_467108_A_G	0.594442
1_469868_T_G	0.688634
1_479504_C_A	0.864688
1_481887_A_C	0.857536
1_482811_C_A	0.876489
1_484094_C_T	0.908668
1_486186_T_G	0.890538
1_489946_G_T	1
1_499452_A_C	1
1_499658_A_C	0.95904
1_512400_A_C	0.956535
1_525295_G_A	0.739099
1_528016_G_A	0.772056
1_530754_A_G	0.736077
1_535417_T_C	0.656854
1_546424_C_A	0.483651
1_554419_G_T	0.277686
1_556321_G_A	0.24309
1_559470_T_C	0.243264
1_560335_G_A	0.253879
1_561372_A_C	0.262386
1_561408_A_G	0.227123
1_562791_T_C	0.24985
1_563324_T_G	0.194154
1_564729_A_G	0.200228
1_576307_T_G	0.131885
1_579143_C_A	0
1_579736_T_G	0.0458399
1_582764_A_G	0.0387123
1_585707_A_G	0.0921289
1_587414_G_T	0.0672462
1_601426_T_G	0.0615447
1_620899_G_A	0
1_623882_T_G	0
1_629962_T_C	0
1_636534_A_G	0.03246
1_641443_G_T	0.021412
1_644883_C_A	0
1_662541_C_T	0
1_662964_G_T	0.0297268
1_668864_T_G	0.00765856
1_671002_T_G	0
1_673505_T_G	0.00650628
1_675021_T_G	0
1_681746_A_C	0.0454221
1_686320_G_A	0.0444123
1_687694_A_C	0.0322767
1_688284_T_G	0
1_691030_T_C	0
1_692222_C_A	0.00692554
1_693196_G_A	0
1_695829_C_A	0
1_698613_A_G	0
1_702152_T_G	0.00118935
1_703562_C_A	0
1_715901_G_T	0
1_720926_G_A	0
1_728926_T_G	0.0286031
1_734876_C_T	0.0414565
1_746743_T_C	0
1_753590_A_C	0
1_757593_G_T	0.0650064
1_759753_A_G	0.071487
1_760077_G_A	0
1_766668_T_G	0
1_767425_A_G	0.0540693
1_767771_C_A	0
1_767841_G_T	0
1_769184_A_G	0
1_773448_A_G	0
1_787289_A_G	0.0163783
1_807262_C_T	0.0524064
1_816784_A_C	0
1_820044_C_T	0
1_848754_G_T	0
1_850585_T_C	0
1_853691_T_G	0
1_854228_T_G	0.00178527
1_857210_A_G	0.0751103
1_857606_G_A	0.000581682
1_875648_A_G	0
1_877493_G_T	0
1_879802_T_G	0
1_885538_C_A	0.00330638
1_887154_C_T	0
1_888794_G_T	0.0112637
1_889482_G_T	0.0130183
1_902288_A_C	0.0263715
1_907455_G_A	0
1_911092_G_T	0.00372922
1_914829_C_T	0
1_915344_A_C	0.0183321
1_916984_A_G	0
1_918644_G_T	0
1_933778_T_G	0
1_938081_C_T	0.00740195
1_938812_G_T	0
1_943576_A_C	0
1_952425_T_G	0.0144411
1_955567_C_A	0
1_957152_G_T	0.0375925
1_957955_T_G	0
1_958877_T_C	0.0170858
1_969759_G_A	0
1_971748_C_A	0
1_973262_T_G	0
1_976943_T_G	0.00266997
1_985040_C_T	0.0473816
1_987623_A_G	0
